Election Year,Position,Name,Votes,Votes %,Party,AC name,AC No
2010,1,Rajesh Singh,42289,29.40%,Janata Dal (United),Valmiki Nagar,1
2010,2,Mukesh Kumar Kushwaha,27618,19.20%,Rashtriya Janata Dal,Valmiki Nagar,1
2010,3,Dheerendra Pratap Singh,20886,14.50%,Bahujan Samaj Party,Valmiki Nagar,1
2010,4,Irshad Hussain,17747,12.40%,Indian National Congress,Valmiki Nagar,1
2010,5,Deep Narayan Mahato,14047,9.80%,Independent,Valmiki Nagar,1
2010,6,Manoj Kumar Singh,8358,5.80%,Janvadi Party (Socialist),Valmiki Nagar,1
2010,7,Saket Kumar Pathak,4428,3.10%,Independent,Valmiki Nagar,1
2010,8,Ramayan Chaudhary,1647,1.20%,Independent,Valmiki Nagar,1
2010,9,Ram Naresh Sah,1610,1.10%,Independent,Valmiki Nagar,1
2010,10,Shashi Bhusan Sahay,1334,0.90%,Nationalist Congress Party,Valmiki Nagar,1
2010,11,Pramod Sah,1114,0.80%,Independent,Valmiki Nagar,1
2010,12,Ramashankar Prasad,1042,0.70%,Bharatiya Jantantrik Janta Dal,Valmiki Nagar,1
2010,13,Insad Ali,835,0.60%,Independent,Valmiki Nagar,1
2010,14,Pahawari Yadaw,743,0.50%,Independent,Valmiki Nagar,1
2010,1,Bhagirathi Devi,51993,41.50%,Bharatiya Janta Party,Ramnagar,2
2010,2,Naresh Ram,22211,17.70%,Indian National Congress,Ramnagar,2
2010,3,Subodh Kumar,20095,16.00%,Nationalist Congress Party,Ramnagar,2
2010,4,Shambhu Ram,9080,7.30%,Rashtriya Janata Dal,Ramnagar,2
2010,5,Rameshvar Manjhee,4129,3.30%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Ramnagar,2
2010,6,Lakshmi Ram,3825,3.10%,Bahujan Samaj Party,Ramnagar,2
2010,7,Vijay Paswan,2048,1.60%,Independent,Ramnagar,2
2010,8,Hiralal Ram,1863,1.50%,Samajwadi Party,Ramnagar,2
2010,9,Sankar Ram,1600,1.30%,Samajwadi Janata Party (RASHTRIYA),Ramnagar,2
2010,10,Suchindra Ram,1497,1.20%,Independent,Ramnagar,2
2010,11,Parsottam Ram,1208,1.00%,Independent,Ramnagar,2
2010,12,Mansa Bharti,1083,0.90%,Independent,Ramnagar,2
2010,13,Sahodari Devi,1038,0.80%,Bharat Vikas Morcha,Ramnagar,2
2010,14,Kanchan Baitha,999,0.80%,Independent,Ramnagar,2
2010,15,Ramraj Paswan,992,0.80%,Suheldev Bhartiya Samaj Party,Ramnagar,2
2010,16,Nathu Ravi,900,0.70%,Independent,Ramnagar,2
2010,17,Uday Raram,696,0.60%,Akhil Bharatiya Ashok Sena,Ramnagar,2
2010,1,Satish Chandra Dubey,45022,38.10%,Bharatiya Janta Party,Narkatiaganj,3
2010,2,Alok Prasad Verma,24794,21.00%,Indian National Congress,Narkatiaganj,3
2010,3,Fakhruddin Khan,22381,18.90%,Independent,Narkatiaganj,3
2010,4,Majhar Alam,8243,7.00%,Rashtriya Janata Dal,Narkatiaganj,3
2010,5,Nurul Hoda Shah,4680,4.00%,Bahujan Samaj Party,Narkatiaganj,3
2010,6,Krishna Kumar Mishra,3980,3.40%,Independent,Narkatiaganj,3
2010,7,Jainul Haque,1642,1.40%,Nationalist Congress Party,Narkatiaganj,3
2010,8,Panchdeo Chaubey,1475,1.30%,Independent,Narkatiaganj,3
2010,9,Asima Khatoon,1300,1.10%,Samajwadi Party,Narkatiaganj,3
2010,10,Manojpatel,1238,1.10%,Samajwadi Janata Party (RASHTRIYA),Narkatiaganj,3
2010,11,Om Shanti Baba,923,0.80%,Independent,Narkatiaganj,3
2010,12,Nandlalram,817,0.70%,Independent,Narkatiaganj,3
2010,13,Baidhnath Chaubey,706,0.60%,Indian Justice Party,Narkatiaganj,3
2010,14,Shekh Hasmuddin,635,0.50%,Akhil Bharatiya Ashok Sena,Narkatiaganj,3
2010,15,Iftekhar Ahmad,446,0.40%,Rashtriya Krantikari Janata Party,Narkatiaganj,3
2010,1,Prabhat Ranjan Singh,67510,50.40%,Janata Dal (United),Bagaha,4
2010,2,Ram Prasad Yadav,18455,13.80%,Rashtriya Janata Dal,Bagaha,4
2010,3,Md.Kamran,18341,13.70%,Bahujan Samaj Party,Bagaha,4
2010,4,Bhisam Sahni,8150,6.10%,Janvadi Party (Socialist),Bagaha,4
2010,5,Ranjeet Rao,6177,4.60%,Indian National Congress,Bagaha,4
2010,6,Gajendra Dhar Mishra,3272,2.40%,Independent,Bagaha,4
2010,7,Vishnu Prakash,1876,1.40%,Independent,Bagaha,4
2010,8,Shiv Kumar Mishra,1673,1.30%,Independent,Bagaha,4
2010,9,Bhikhari Sah,1607,1.20%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Bagaha,4
2010,10,Satyanarayan Prasad Yadav,1540,1.20%,Independent,Bagaha,4
2010,11,Umesh Prasad,1516,1.10%,Nationalist Congress Party,Bagaha,4
2010,12,Rajat Kumar Srivastva,1503,1.10%,Samajwadi Janata Party (RASHTRIYA),Bagaha,4
2010,13,"Shailendra Singh, Alies S.K.Singh",910,0.70%,Samajwadi Party,Bagaha,4
2010,14,Abhishekh Nath Tiwari,722,0.50%,Independent,Bagaha,4
2010,15,Bechu Yadav,690,0.50%,Rashtra Sewa Dal,Bagaha,4
2010,1,Vinay Bihari,38381,33.40%,Independent,Lauriya,5
2010,2,Pradeep Singh,27500,24.00%,Janata Dal (United),Lauriya,5
2010,3,Shambhu Tiwari,22140,19.30%,Rashtriya Janata Dal,Lauriya,5
2010,4,Vishwamohan Sharma,9582,8.40%,Indian National Congress,Lauriya,5
2010,5,Santosh Kumar Rao Allias Babloo Singh,4133,3.60%,Bahujan Samaj Party,Lauriya,5
2010,6,Sajjad Ansari,2850,2.50%,Independent,Lauriya,5
2010,7,Umesh Yadav,2811,2.50%,Communist Party Of India (MARXIST),Lauriya,5
2010,8,Narayani Devi,2014,1.80%,Samajwadi Janata Party (RASHTRIYA),Lauriya,5
2010,9,Daktar Mahto,2009,1.80%,Nationalist Congress Party,Lauriya,5
2010,10,Sanjay Thakur,1620,1.40%,Akhil Bharatiya Ashok Sena,Lauriya,5
2010,11,Irshad Alam,922,0.80%,Rashtriya Krantikari Janata Party,Lauriya,5
2010,12,Vijay Kumar,814,0.70%,Samajwadi Party,Lauriya,5
2010,1,Manorma Prasad,40894,36.50%,Janata Dal (United),Nautan,6
2010,2,Narayan Prasad,18130,16.20%,Lok Jan Shakti Party,Nautan,6
2010,3,Gallu Choudhary,15764,14.10%,Communist Party Of India,Nautan,6
2010,4,Amar Yadav,8521,7.60%,Bahujan Samaj Party,Nautan,6
2010,5,Rameshwar Prasad,6484,5.80%,Indian National Congress,Nautan,6
2010,6,Kamran Sheikh,4288,3.80%,Independent,Nautan,6
2010,7,Mohammad Ekram,3930,3.50%,Independent,Nautan,6
